FID,Shape,class,class_code,comm_code,comm_struc,name,sector,srg,Area_sq_m
242,Polygon,Residential,1,CAM,1950s,CAMBRIAN HEIGHTS,CENTRE,BUILT-OUT,864173
255,Polygon,Major Park,3,COP,OTHER,CANADA OLYMPIC PARK,WEST,N/A,881976
86,Polygon,Residential,1,CAN,1960s/1970s,CANYON MEADOWS,SOUTH,BUILT-OUT,3078260
241,Polygon,Residential,1,CAP,1950s,CAPITOL HILL,CENTRE,BUILT-OUT,1418810
240,Polygon,Residential,1,CAR,BUILDING OUT,CARRINGTON,NORTH,DEVELOPING,2988760
194,Polygon,Residential,1,CAS,1980s/1990s,CASTLERIDGE,NORTHEAST,BUILT-OUT,1212390
167,Polygon,Residential,1,CED,1960s/1970s,CEDARBRAE,SOUTH,BUILT-OUT,2069970
25,Polygon,Residential,1,CHA,BUILDING OUT,CHAPARRAL,SOUTH,DEVELOPING,5385680
169,Polygon,Residential,1,CHW,1950s,CHARLESWOOD,NORTHWEST,BUILT-OUT,1830720
27,Polygon,Residential,1,CHN,CENTRE CITY,CHINATOWN,CENTRE,BUILT-OUT,247608
172,Polygon,Residential,1,CHK,1950s,CHINOOK PARK,SOUTH,BUILT-OUT,582746
115,Polygon,Residential,1,CHR,1980s/1990s,CHRISTIE PARK,WEST,BUILT-OUT,814029
123,Polygon,Residential,1,CIT,1980s/1990s,CITADEL,NORTHWEST,BUILT-OUT,2736170
180,Polygon,Residential,1,CSC,BUILDING OUT,CITYSCAPE,NORTHEAST,DEVELOPING,2309020
223,Polygon,Residential,1,CLI,INNER CITY,CLIFF BUNGALOW,CENTRE,BUILT-OUT,362797
247,Polygon,Residential,1,COA,1980s/1990s,COACH HILL,WEST,BUILT-OUT,1075610
232,Polygon,Residential,1,COL,1950s,COLLINGWOOD,NORTHWEST,BUILT-OUT,1559290
112,Polygon,Residential,1,CPF,BUILDING OUT,COPPERFIELD,SOUTHEAST,DEVELOPING,4592020
79,Polygon,Residential,1,COR,2000s,CORAL SPRINGS,NORTHEAST,BUILT-OUT,1817590
222,Polygon,Residential,1,CNS,2000s,CORNERSTONE,NORTHEAST,DEVELOPING,7686690
259,Polygon,Residential,1,CGR,2000s,COUGAR RIDGE,WEST,DEVELOPING,2218810
84,Polygon,Residential,1,COU,1980s/1990s,COUNTRY HILLS,NORTH,BUILT-OUT,1888780
245,Polygon,Residential,1,CHV,2000s,COUNTRY HILLS VILLAGE,NORTH,BUILT-OUT,952213
137,Polygon,Residential,1,COV,2000s,COVENTRY HILLS,NORTH,BUILT-OUT,4084560
181,Polygon,Residential,1,CRA,BUILDING OUT,CRANSTON,SOUTHEAST,DEVELOPING,8262210
23,Polygon,Residential,1,CRE,INNER CITY,CRESCENT HEIGHTS,CENTRE,BUILT-OUT,1625520
191,Polygon,Residential,1,CRM,2000s,CRESTMONT,WEST,BUILT-OUT,1645500
44,Polygon,Residential,1,CUR,BUILDING OUT,CURRIE BARRACKS,WEST,BUILT-OUT,983159
71,Polygon,Residential,1,DAL,1960s/1970s,DALHOUSIE,NORTHWEST,BUILT-OUT,3336590
146,Polygon,Residential,1,DRG,1980s/1990s,DEER RIDGE,SOUTH,BUILT-OUT,1417700
70,Polygon,Residential,1,DRN,1980s/1990s,DEER RUN,SOUTH,BUILT-OUT,1868580
231,Polygon,Industrial,2,DBC,EMPLOYMENT,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,1967140
272,Polygon,Residential,1,DIA,1980s/1990s,DIAMOND COVE,SOUTH,BUILT-OUT,489030
77,Polygon,Residential,1,DIS,2000s,DISCOVERY RIDGE,WEST,BUILT-OUT,3599130
225,Polygon,Residential,1,DDG,1980s/1990s,DOUGLASDALE/GLEN,SOUTHEAST,BUILT-OUT,6439020
41,Polygon,Residential,1,DOV,1960s/1970s,DOVER,EAST,BUILT-OUT,4152930
130,Polygon,Residential,1,DNC,CENTRE CITY,DOWNTOWN COMMERCIAL CORE,CENTRE,BUILT-OUT,1328940
38,Polygon,Residential,1,DNE,CENTRE CITY,DOWNTOWN EAST VILLAGE,CENTRE,BUILT-OUT,520913
110,Polygon,Residential,1,DNW,CENTRE CITY,DOWNTOWN WEST END,CENTRE,BUILT-OUT,364607
256,Polygon,Residential,1,EAG,1960s/1970s,EAGLE RIDGE,SOUTH,BUILT-OUT,372052
32,Polygon,Industrial,2,EFV,EMPLOYMENT,EAST FAIRVIEW INDUSTRIAL,SOUTH,N/A,2312210
89,Polygon,Industrial,2,ESH,EMPLOYMENT,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,17303100
28,Polygon,Industrial,2,EFI,EMPLOYMENT,EASTFIELD,EAST,N/A,1124900
149,Polygon,Residential,1,EAU,CENTRE CITY,EAU CLAIRE,CENTRE,BUILT-OUT,516159
263,Polygon,Residential,1,EDG,1980s/1990s,EDGEMONT,NORTHWEST,BUILT-OUT,6620910
