FID,Shape,class,class_code,comm_code,comm_struc,name,sector,srg,Area_sq_m
148,Polygon,Residential,1,MPK,1960s/1970s,MARLBOROUGH PARK,NORTHEAST,BUILT-OUT,2487760
239,Polygon,Residential,1,MRT,1980s/1990s,MARTINDALE,NORTHEAST,BUILT-OUT,2688570
97,Polygon,Residential,1,MAF,1950s,MAYFAIR,CENTRE,BUILT-OUT,305083
135,Polygon,Industrial,2,MLI,EMPLOYMENT,MAYLAND,NORTHEAST,N/A,1227450
160,Polygon,Residential,1,MAL,1960s/1970s,MAYLAND HEIGHTS,NORTHEAST,BUILT-OUT,2022220
80,Polygon,Industrial,2,MCI,EMPLOYMENT,MCCALL,NORTHEAST,N/A,2390240
193,Polygon,Residential,1,MCK,1980s/1990s,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,5064270
220,Polygon,Residential,1,MCT,BUILDING OUT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,4818480
82,Polygon,Residential,1,MEA,1950s,MEADOWLARK PARK,CENTRE,BUILT-OUT,645413
5,Polygon,Residential,1,MDH,2000s,MEDICINE HILL,WEST,BUILT-OUT,1211740
126,Polygon,Industrial,2,MER,EMPLOYMENT,MERIDIAN,NORTHEAST,N/A,1382640
270,Polygon,Residential,1,MID,1960s/1970s,MIDNAPORE,SOUTH,BUILT-OUT,2891490
159,Polygon,Residential,1,MLR,1980s/1990s,MILLRISE,SOUTH,BUILT-OUT,1782510
142,Polygon,Residential,1,MIS,INNER CITY,MISSION,CENTRE,BUILT-OUT,535078
64,Polygon,Residential,1,MOR,2000s,MONTEREY PARK,NORTHEAST,BUILT-OUT,3445720
57,Polygon,Residential,1,MON,1950s,MONTGOMERY,NORTHWEST,BUILT-OUT,2952080
248,Polygon,Residential,1,MOP,INNER CITY,MOUNT PLEASANT,CENTRE,BUILT-OUT,1865240
33,Polygon,Residential,1,NEB,BUILDING OUT,NEW BRIGHTON,SOUTHEAST,DEVELOPING,2847110
51,Polygon,Residential,1,NOL,BUILDING OUT,NOLAN HILL,NORTH,DEVELOPING,2057240
127,Polygon,Industrial,2,NAW,EMPLOYMENT,NORTH AIRWAYS,NORTHEAST,N/A,1210140
227,Polygon,Residential,1,NGM,1950s,NORTH GLENMORE PARK,WEST,BUILT-OUT,1156130
233,Polygon,Residential,1,NHV,1960s/1970s,NORTH HAVEN,NORTH,BUILT-OUT,845767
18,Polygon,Residential,1,NHU,1960s/1970s,NORTH HAVEN UPPER,NORTH,BUILT-OUT,269156
152,Polygon,Major Park,3,NPK,PARKS,NOSE HILL PARK,NORTHWEST,N/A,11607800
250,Polygon,Residential,1,OAK,1960s/1970s,OAKRIDGE,SOUTH,BUILT-OUT,2420180
9,Polygon,Residential,1,OGD,1950s,OGDEN,SOUTHEAST,BUILT-OUT,4097190
131,Polygon,Industrial,2,OSH,EMPLOYMENT,OGDEN SHOPS,EAST,N/A,2220170
40,Polygon,Residential,1,PAL,1960s/1970s,PALLISER,SOUTH,BUILT-OUT,984514
260,Polygon,Residential,1,PAN,BUILDING OUT,PANORAMA HILLS,NORTH,DEVELOPING,6335980
17,Polygon,Residential,1,PKD,1950s,PARKDALE,CENTRE,BUILT-OUT,1050510
190,Polygon,Residential,1,PKH,1950s,PARKHILL,CENTRE,BUILT-OUT,657579
121,Polygon,Residential,1,PKL,1960s/1970s,PARKLAND,SOUTH,BUILT-OUT,1802140
42,Polygon,Residential,1,PAT,1980s/1990s,PATTERSON,WEST,BUILT-OUT,2049290
244,Polygon,Industrial,2,PEG,EMPLOYMENT,PEGASUS,NORTHEAST,N/A,255330
67,Polygon,Residential,1,PEN,1960s/1970s,PENBROOKE MEADOWS,EAST,BUILT-OUT,2062480
300,Polygon,Residential,1,PCK,BUILDING OUT,PINE CREEK,SOUTH,DEVELOPING,2493050
102,Polygon,Residential,1,PIN,1960s/1970s,PINERIDGE,NORTHEAST,BUILT-OUT,2641090
113,Polygon,Residential,1,POI,1960s/1970s,POINT MCKAY,CENTRE,BUILT-OUT,383946
108,Polygon,Residential,1,PUM,1960s/1970s,PUMP HILL,SOUTH,BUILT-OUT,945576
55,Polygon,Residential,1,QPK,1950s,QUEENS PARK VILLAGE,CENTRE,BUILT-OUT,621529
10,Polygon,Residential,1,QLD,1960s/1970s,QUEENSLAND,SOUTH,BUILT-OUT,1556700
206,Polygon,Residential,1,RAM,INNER CITY,RAMSAY,CENTRE,BUILT-OUT,984454
29,Polygon,Residential,1,RAN,1960s/1970s,RANCHLANDS,NORTHWEST,BUILT-OUT,2347990
293,Polygon,Residential,1,RVW,BUILDING OUT,RANGEVIEW,SOUTHEAST,DEVELOPING,4837500
212,Polygon,Residential,1,RED,1960s/1970s,RED CARPET,EAST,BUILT-OUT,540164
125,Polygon,Residential,1,RSN,BUILDING OUT,REDSTONE,NORTHEAST,DEVELOPING,1909980
265,Polygon,Residential,1,REN,INNER CITY,RENFREW,CENTRE,BUILT-OUT,2661120
205,Polygon,Residential,1,RIC,1950s,RICHMOND,CENTRE,BUILT-OUT,1906020
63,Polygon,Residential,1,RID,INNER CITY,RIDEAU PARK,CENTRE,BUILT-OUT,267136
61,Polygon,Residential,1,RIV,1980s/1990s,RIVERBEND,SOUTHEAST,BUILT-OUT,4082020
16,Polygon,Residential,1,ROC,BUILDING OUT,ROCKY RIDGE,NORTHWEST,DEVELOPING,2806430
218,Polygon,Residential,1,RDL,INNER CITY,ROSEDALE,CENTRE,BUILT-OUT,666383
124,Polygon,Residential,1,RMT,1950s,ROSEMONT,CENTRE,BUILT-OUT,449842
56,Polygon,Residential,1,RCK,1950s,ROSSCARROCK,WEST,BUILT-OUT,1062440
171,Polygon,Residential,1,ROX,INNER CITY,ROXBORO,CENTRE,BUILT-OUT,271829
182,Polygon,Residential,1,ROY,2000s,ROYAL OAK,NORTHWEST,BUILT-OUT,3544150
