name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Madlib,Beat Salad To Date,0.514,0.819,0,-16.094,1,0.795,0,0.159,60.701,3,6jRvDpOc9oi3sjQuoPK7if,Introduction,30,Shades Of Blue: Madlib Invades Blue Note,2003-06-24,C,major,C major,32586
Madlib,Beat Salad To Date,0.517,0.663,2,-7.259,1,0.218,0.0305,0.529,91.746,4,6jRvDpOc9oi3sjQuoPK7if,Slim's Return,48,Shades Of Blue: Madlib Invades Blue Note,2003-06-24,D,major,D major,236306
Jeff Parker,Beat Salad To Date,0.427,0.719,7,-8.504,1,0.0341,0.867,0.86,123.021,4,2t6aF3BwIOKKQSpuHKGDAW,Go Away,37,Suite for Max Brown,2020-01-24,G,major,G major,298874
Tarik Robinson,Beat Salad To Date,0.712,0.605,11,-6.361,0,0.232,0.91,0.585,188.713,4,6Vg9Y1arTipOO9zaOAmnfW,Coquimbo,4,Unión Latinoamericana (Beat Tape),2019-05-01,B,minor,B minor,239559
Tom Scott,Beat Salad To Date,0.61,0.606,6,-6.66,1,0.0286,0.0364,0.582,94.557,4,3NnGeD4rLyOOzmlsb2ZLfO,Never My Love,11,The Honeysuckle Breeze,1967,F#,major,F# major,199000
Local Talent,Beat Salad To Date,0.33,0.212,3,-14.932,0,0.0357,0.957,0.0354,142.524,3,5hnq1qvar5Vh9hyaM9ZTlj,Sailing at Night,7,Higienópolis,2019-12-20,D#,minor,D# minor,281458
Karavelo,Beat Salad To Date,0.258,0.264,4,-27.06,1,0.0814,0.926,0.0388,82.457,3,5fnAVheauSIIJH0zqVfl6R,Coffee and a Cigarette,2,"The Cookbook, Vol. 1",2019-06-21,E,major,E major,44799
Badge Époque Ensemble,Beat Salad To Date,0.601,0.466,4,-7.967,0,0.0265,0.0979,0.447,94.932,4,0PfLOnDUPMPWiCkH1BTjp9,Nature Man and Woman,18,"Nature, Man & Woman",2019-12-06,E,minor,E minor,370000
G Mills,Beat Salad To Date,0.812,0.343,2,-7.426,1,0.105,0.484,0.42,91.606,4,3Oz75cE8w5NQzFI1el6bcP,Azimuth,7,"Currents, Vol. 1",2018-01-26,D,major,D major,111769
Radiohead,Beat Salad To Date,0.157,0.145,6,-21.359,1,0.0354,0.886,0.0635,138.305,3,19RUXBFyM4PpmrLRdtqWbp,Treefingers,54,Kid A,2000-10-01,F#,major,F# major,222600
