name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
The Salsoul Orchestra,Disco,0.7,0.915,7,-4.485,1,0.071,0.0761,0.536,126.231,4,1ArEjGGPWMMCCWDeLK2AAU,Standing and Waiting on Love,0,Nice 'N' Naasty,1976-01-01,G,major,G major,219293
The Salsoul Orchestra,Disco,0.684,0.615,2,-6.154,0,0.0322,0.189,0.501,123.34,4,1ArEjGGPWMMCCWDeLK2AAU,It's Good for the Soul,0,Nice 'N' Naasty,1976-01-01,D,minor,D minor,274293
The Salsoul Orchestra,Disco,0.662,0.728,5,-8.24,0,0.0651,0.00102,0.725,127.89,4,1ArEjGGPWMMCCWDeLK2AAU,It Don't Have to Be Funky - To Be Groove,0,Nice 'N' Naasty,1976-01-01,F,minor,F minor,290573
The Salsoul Orchestra,Disco,0.488,0.748,0,-6.722,1,0.0791,0.829,0.227,130.248,4,1ArEjGGPWMMCCWDeLK2AAU,Salsoul:3001,0,Nice 'N' Naasty,1976-01-01,C,major,C major,397333
The Salsoul Orchestra,Disco,0.658,0.788,5,-6.034,0,0.0611,0.0691,0.741,123.59,4,7KvRf4PZGIdqF9hLuE8CNu,Salsoul Hustle,0,Salsoul,1975-01-01,F,minor,F minor,313600
The Salsoul Orchestra,Disco,0.678,0.641,0,-10.542,1,0.12,0.00366,0.756,116.732,4,7KvRf4PZGIdqF9hLuE8CNu,Ooh I Love It - Love Break,0,Salsoul,1975-01-01,C,major,C major,442133
The Salsoul Orchestra,Disco,0.823,0.564,7,-7.593,1,0.0387,0.69,0.957,125.725,4,7KvRf4PZGIdqF9hLuE8CNu,Get Happy,0,Salsoul,1975-01-01,G,major,G major,185560
The Salsoul Orchestra,Disco,0.696,0.787,7,-7.819,1,0.0327,0.839,0.598,127.898,4,42N00h3qvFVP5AW6RRmSLi,Magic Bird of Fire,7,Magic Journey,1977-01-01,G,major,G major,302602
The Salsoul Orchestra,Disco,0.676,0.909,5,-7.389,0,0.0517,0.88,0.956,108.894,4,42N00h3qvFVP5AW6RRmSLi,Getaway,8,Magic Journey,1977-01-01,F,minor,F minor,260109
The Salsoul Orchestra,Disco,0.665,0.774,11,-7.487,0,0.066,5.18e-4,0.784,109.798,4,42N00h3qvFVP5AW6RRmSLi,Run Away,26,Magic Journey,1977-01-01,B,minor,B minor,284613
The Salsoul Orchestra,Disco,0.551,0.79,0,-5.231,1,0.0335,0.32,0.534,123.144,4,7KvRf4PZGIdqF9hLuE8CNu,Tangerine,0,Salsoul,1975-01-01,C,major,C major,279400
The Spinners,Disco,0.411,0.788,8,-10.197,0,0.109,0,0.612,198.435,4,1YtoIFW84QtpYVlkOR8xTe,It's A Shame,44,The Best Of The Spinners,1973-01-01,G#,minor,G# minor,191960
The Spinners,Disco,0.608,0.428,1,-11.625,1,0.109,0,0.881,176.735,4,6QVemXFGMR4OLvlXvtQVjg,One of a Kind (Love Affair),40,Spinners,1973,C#,major,C# major,214146
The Spinners,Disco,0.647,0.405,2,-11.651,0,0.0292,2.82e-6,0.737,109.423,4,6QVemXFGMR4OLvlXvtQVjg,Ghetto Child,29,Spinners,1973,D,minor,D minor,230719
The Spinners,Disco,0.382,0.727,9,-6.677,0,0.0861,0,0.826,207.265,4,6QVemXFGMR4OLvlXvtQVjg,Could It Be I'm Falling in Love,58,Spinners,1973,A,minor,A minor,249733
The Stovall Sisters,Disco,0.66,0.877,8,-6.989,1,0.0875,0.526,0.961,123.92,4,6AqvdwzMenv6rwkOics47a,Hang On In There,1,Rare Funk,2018-06-15,G#,major,G# major,216000
The Temptations,Disco,0.691,0.497,5,-14.177,1,0.0302,3.54e-6,0.876,113.63,4,3ZRpmo4encM3hourEMUE0g,Law Of The Land,31,Masterpiece,1973,F,major,F major,300960
The Three Degrees,Disco,0.564,0.594,9,-9.245,1,0.0328,0.00366,0.766,120.749,4,348rR3bK4ypUS5MF2aIetX,When Will I See You Again,51,The Three Degrees,1973,A,major,A major,178746
The Trammps,Disco,0.828,0.606,1,-13.45,1,0.0365,0.0926,0.961,124.59,4,0JCpZXyG2nhtt4ykFR4Kxo,Soul Searchin' Time,0,Groove Masters,2017-04-21,C#,major,C# major,364506
The Trammps,Disco,0.783,0.823,8,-10.047,1,0.0357,2.17e-5,0.816,125.377,4,1y2xsGVio33PRhyqIgbGJq,Soul Bones,0,Disco Crate,2017-04-13,G#,major,G# major,257466
The Trammps,Disco,0.837,0.758,5,-8.454,1,0.0968,0.00328,0.745,116.878,4,1GVZB91vtwNlsWy6vEmn1N,Music Freek,2,The Complete Albums 1976-1980,2019-05-31,F,major,F major,296906
The Trammps,Disco,0.726,0.809,5,-6.804,0,0.0344,1.37e-4,0.956,121.886,4,6IBI01gmj7d5BpfiaD9cGh,Save a Place,20,Disco Champs,1977,F,minor,F minor,286680
The Trammps,Disco,0.676,0.704,10,-8.534,1,0.0329,0.0709,0.812,129.594,4,2fbPRtAt1i5f68lZegx1iB,Disco Inferno,52,Playlist: The Best Of The Trammps,2016-06-17,A#,major,A# major,213840
The Trammps,Disco,0.645,0.703,0,-10.865,0,0.0588,4.3e-4,0.632,121.186,4,3SelPCaY9JkgQYfOSmN2nh,The Night the Lights Went Out,0,Retro 70's Grooves,2018-12-28,C,minor,C minor,427160
The Trammps,Disco,0.372,0.582,0,-11.319,1,0.0569,6.18e-5,0.584,166.777,4,1GVZB91vtwNlsWy6vEmn1N,Seasons for the Girls,4,The Complete Albums 1976-1980,2019-05-31,C,major,C major,477226
The Trammps,Disco,0.627,0.585,9,-11.727,0,0.0441,4.96e-6,0.876,119.114,4,2nQGPoSiIylXwUcg78PDDB,I'm so Glad You Came Along,4,The Trammps III,1977,A,minor,A minor,175400
