obs,listprice,livingarea,floors,bedrooms,baths
1,69,0.56,1,2,1
2,118.5,0.93,1,2,2
3,116.5,0.93,1,3,2
4,125,1.02,1,3,2
5,129.9,1.21,1,3,1.7
6,135,1.21,2,3,2.5
7,139.9,1.21,1,3,2
8,147.9,1.58,2,3,2.5
9,160,1.77,2,3,2
10,169.9,1.67,1,3,2
11,134.9,1.21,1,4,2
12,155,1.67,1,4,2
13,169.9,1.58,2,4,3
14,194.5,1.86,2,4,3
15,209.9,1.95,2,4,3
