Country,"Fertility rate (births/woman)","Life expectancy at birth (years)",GDP (USD),Population density (people/km2),GDP per capita growth (%/yr),Income per capita (USD),CO2 emissions (tons per capita)
Lao PDR,3.143,64.306,7127792629.58294,27.076104853,6.780830300,780.077838668,0.262298883
Mali,6.547,55.251,10678749467.4697,12.333614437,2.135870507,557.164416064,0.064083885
Luxembourg,1.63,80.631707317,53212476812.2957,208.622633745,2.968122510,63004.255369727,21.635135802
American Samoa,,,576000000,280.395,1.524295609,,
South Asia,2.745884201,66.848768532,2060818677119.47,343.448913047,6.179824090,1108.133171447,1.201634628
Guinea-Bissau,5.049,54.628,849050127.504407,54.146479374,1.953578420,468.563565784,0.156544829
Kosovo,2.29,69.9,5830415894.03973,163.100946082,2.482131366,,
Faroe Islands,2.5,80.587804878,2320424601.26954,34.250714835,,,13.191199230
Least developed countries: UN classification,4.504538473,61.388933701,674399223844.008,47.099484438,3.797871206,613.584636632,0.273284843
Belize,2.69,72.057,1377179137.31754,14.136957475,0.879869659,3022.698452012,1.671656371
Mauritius,1.57,72.967317073,10003670690.3497,615.960591133,4.129198864,7072.219453518,3.132082534
Andorra,1.27,,3355695364.23841,179.678723404,-5.343136111,,6.122594702
India,2.581,66.693,1675615335600.56,415.136997636,7.042346887,1172.804566734,1.393273291
East Asia & Pacific (excluding high income),1.869019897,73.066264408,7868985854185,123.539253936,8.998397117,3079.502961271,5.106738743
South Africa,2.598,57.669,375349442837.24,42.220250765,1.551072526,5883.215156554,9.256680970
Isle of Man,,,5920177688.50433,148.871929825,2.813891280,,
Solomon Islands,4.403,70.674,681151193.502387,18.858913898,4.243334167,612.946121172,0.375132847
Liberia,4.971,59.6,1998000000,40.400290698,2.358371759,325.945546559,0.203546527
Gabon,4.146,61.4,14358584300.3006,6.303178484,3.449408748,4586.303198377,2.962247097
Moldova,1.275,69.616,6974960426.21652,124.169310140,7.207008530,1636.329579692,1.384630177
Not classified,,,,,,,
Monaco,,,5362649006.62252,17806,0.993333708,,
Virgin Islands (U.S.),2.3,77.965853659,4339000000,309.594285714,0.947883005,,
Nigeria,5.839,50.896,363359886203.409,174.032079449,5.158545242,1823.661325371,0.577384688
Panama,2.622,76.792,29440300000,49.000363196,3.983842194,6920.055447688,2.515679497
St. Martin (French part),1.82,78.721951220,,690.845588235,,,
Upper middle income,1.849852268,73.514570236,15857384500633.1,42.784531820,6.739165361,5016.934903525,5.927261545
Middle East & North Africa (excluding high income),2.918526888,72.014700877,1383884078442.77,38.510246630,3.407777389,3365.312581162,3.850970223
China,1.627,74.409,6087164527421.24,142.487739611,10.103100723,3459.181815205,6.560520007
Netherlands,1.79,80.702439024,846554894931.084,492.599881411,0.824259960,41980.652074040,11.017070856
Brunei Darussalam,1.937,74.74,13707370737.0737,73.746869070,1.347649387,25507.665003402,21.106814428
Ecuador,2.615,75.089,69555367000,60.440960702,1.892927572,3667.011472202,2.428931904
Indonesia,2.483,69.205,755094160363.071,133.494270163,4.812281788,2325.629810741,1.772951392
Romania,1.59,73.458536585,166225180150.414,88.010741143,-3.328750364,6554.844630260,3.922213561
Late-demographic dividend,1.707191197,73.980856097,13505549757437,49.003287868,6.983528568,4827.073258117,6.080234398
Sint Maarten (Dutch part),,,,1001.647058824,3.751509141,,
Timor-Leste,4.805,67.186,3998961300,73.538870208,-2.911434387,1253.884503255,0.214616428
North Macedonia,1.468,74.662,9407168702.4313,82.107097542,3.273797407,3458.033256167,4.154446162
Bosnia and Herzegovina,1.315,76.031,17176781336.7644,72.3725,1.595746394,4124.585691572,5.741760834
Denmark,1.87,79.1,321995279401.502,130.749069055,1.419486593,47972.223467185,8.407216670
Iraq,4.343,68.567,138516722649.573,68.479406889,3.652116069,3721.645311264,3.772295829
Sao Tome and Principe,4.727,67.43,197454052.146072,187.886458333,4.013627968,855.835075750,0.548918618
Central African Republic,5.215,47.312,2140503193.16261,7.041587210,3.458686168,411.633361062,0.060186452
Ireland,2.05,80.743902439,222148757313.006,66.194730730,1.256741686,33811.358785593,8.783613934
Jordan,3.631,73.428,26795901408.4507,81.792509574,-2.877471445,3288.661377871,2.916818597
Latvia,1.36,73.482926829,23796118300.8371,33.701076478,-2.464407530,8601.764483416,3.849593455
