,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg
17,2017020018,2017-10-07,Panthers,5,Lightning,4,H,H_reg,1,"2017-10-07 - Lightning 4, Panthers 5",Florida Panthers,60.0,7.0,5.5,0.7550000000000026,1.0,-0.5,0.48499999999999943,0.0,0.0,0.19999999999999574,-1.5,5.5,-39.905,0.20999999999999952,-0.5050000000000003,4.369999999999997,1.0,-2.5,1.8399999999999963,-0.5,-5.5,7.710000000000001,-0.5,-3.5,3.8049999999999997,-1.5,2.0,-41.67,-18.57,-18.709999999999994,1.5,3.0,-4.784999999999997,-0.5,6.5,-23.134999999999998,-2.0,3.0,-66.67,-25.0,-15.384999999999991,4.0,6.5,-0.9650000000000034,0.5,-2.5,6.25,2.0,0.5,25.0,13.57,-2.3799999999999955,-5.115,-13.590000000000003,-0.1875,6.0
18,2017020019,2017-10-07,Devils,4,Avalanche,1,H,H_reg,1,"2017-10-07 - Avalanche 1, Devils 4",New Jersey Devils,60.0,1.0,13.0,-4.970000000000006,-6.0,8.0,-7.43,-10.0,6.0,-11.770000000000003,-2.0,1.0,-33.33,-1.27,0.34999999999999964,-13.71,-7.0,0.0,-5.93,-7.0,-2.0,-7.07,-6.0,0.0,-11.930000000000007,-1.0,0.0,-33.33,-6.67,0.0,0.0,2.0,-3.1199999999999974,-2.0,0.0,-11.190000000000001,-1.0,0.0,-33.33,-20.0,0.0,9.0,11.0,-1.4299999999999997,-2.0,5.0,-10.54,0.0,1.0,-50.0,0.0,-5.260000000000005,-5.13,-0.6099999999999994,-0.05700000000000005,5.0
19,2017020020,2017-10-07,Islanders,6,Sabres,3,H,H_reg,1,"2017-10-07 - Sabres 3, Islanders 6",New York Islanders,60.0,-13.0,9.0,-8.520000000000003,-15.0,5.0,-9.5,-11.0,-7.0,-2.1899999999999977,3.0,2.0,5.560000000000002,-0.6600000000000001,1.2599999999999998,-14.839999999999996,2.0,9.0,-5.810000000000002,0.0,-3.0,6.020000000000003,1.0,-8.0,25.270000000000003,0.0,0.0,0.0,-0.9100000000000001,-12.310000000000002,2.0,12.0,-14.43,2.0,6.0,-16.809999999999995,4.0,0.0,50.0,30.77,0.0,-15.0,0.0,-12.879999999999995,-13.0,-7.0,-11.11,-1.0,2.0,-50.0,-4.35,-15.450000000000003,10.27,-7.1200000000000045,0.03199999999999992,4.0
20,2017020021,2017-10-07,Penguins,4,Predators,0,H,H_reg,1,"2017-10-07 - Predators 0, Penguins 4",Pittsburgh Penguins,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2017020022,2017-10-07,Capitals,6,Canadiens,1,H,H_reg,1,"2017-10-07 - Canadiens 1, Capitals 6",Washington Capitals,60.0,-24.0,4.0,-10.509999999999998,-22.0,3.0,-12.36,-13.0,1.0,-9.170000000000002,1.0,4.0,-50.0,-2.89,-0.1599999999999997,-17.429999999999993,-6.0,7.0,-12.190000000000005,-10.0,-3.0,-12.07,-9.0,-5.0,-5.309999999999995,-1.0,0.0,0.0,5.710000000000001,0.0,4.0,10.0,-9.43,5.0,5.0,-6.5,1.0,4.0,-66.67,2.3800000000000026,-44.44,-11.0,1.0,-8.280000000000001,-9.0,3.0,-17.020000000000003,1.0,0.0,50.0,6.67,0.0,5.83,-14.290000000000006,-0.08499999999999996,1.0
22,2017020023,2017-10-07,Hurricanes,5,Wild,4,H,H_reg,1,"2017-10-07 - Wild 4, Hurricanes 5",Carolina Hurricanes,65.0,20.0,-7.0,11.969999999999999,15.0,-7.0,13.199999999999996,10.0,-5.0,12.050000000000004,-2.0,2.0,-25.0,-0.16000000000000014,0.6999999999999997,-6.420000000000002,6.0,-2.0,7.82,-1.0,-1.0,-1.0900000000000034,-4.0,-5.0,-6.659999999999997,-2.0,-2.0,0.0,-12.5,9.659999999999997,7.0,-1.0,15.149999999999999,4.0,0.0,12.630000000000003,-1.0,2.0,-66.67,-23.33,-22.22,15.0,-7.0,20.07,12.0,0.0,20.369999999999997,1.0,1.0,0.0,4.76,-10.0,-11.43,-7.799999999999997,-0.19299999999999995,0.0
23,2017020024,2017-10-07,Blues,4,Stars,2,H,H_reg,1,"2017-10-07 - Stars 2, Blues 4",St Louis Blues,60.0,-4.0,-9.0,3.1000000000000014,3.0,-7.0,6.329999999999998,-1.0,-6.0,4.6100000000000065,1.0,-2.0,15.280000000000001,-0.06999999999999984,-0.16999999999999993,0.7199999999999989,3.0,-10.0,12.220000000000006,2.0,-3.0,9.120000000000005,2.0,-4.0,12.82,1.0,-1.0,16.67,4.460000000000001,-4.170000000000002,1.0,-7.0,15.149999999999999,4.0,-3.0,24.29,0.0,0.0,0.0,0.0,-11.11,-1.0,4.0,-5.829999999999998,-6.0,3.0,-20.1,0.0,-1.0,50.0,0.0,16.67,2.92,2.5799999999999983,0.05500000000000005,-2.0
24,2017020025,2017-10-07,Blackhawks,5,Blue Jackets,1,H,H_reg,1,"2017-10-07 - Blue Jackets 1, Blackhawks 5",Chicago Blackhawks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2017020026,2017-10-07,Coyotes,1,Golden Knights,2,H,A_OT,0,"2017-10-07 - Golden Knights 2, Coyotes 1",Arizona Coyotes,63.76666666666701,12.0,-19.0,12.270000000000003,3.0,-24.0,13.910000000000004,4.0,-16.0,13.21,8.0,-1.0,40.91,0.69,-1.7200000000000002,21.36,3.0,-11.0,13.990000000000002,-2.0,-3.0,2.6999999999999957,-1.0,-2.0,3.479999999999997,4.0,-1.0,50.0,33.980000000000004,10.0,5.0,-8.0,23.999999999999993,6.0,-6.0,40.0,4.0,0.0,50.0,40.0,0.0,9.0,-11.0,14.809999999999995,-1.0,-9.0,11.11,0.0,0.0,0.0,0.20999999999999996,-2.7900000000000063,17.73,0.9899999999999949,0.18700000000000006,5.0
26,2017020027,2017-10-07,Flames,6,Jets,3,H,H_reg,1,"2017-10-07 - Jets 3, Flames 6",Calgary Flames,60.0,-5.0,-5.0,0.19999999999999574,-9.0,-2.0,-3.5500000000000043,-9.0,3.0,-9.39,-1.0,4.0,-50.0,-0.8899999999999997,-0.06000000000000005,-7.969999999999999,3.0,-1.0,3.700000000000003,-1.0,-3.0,5.0,-3.0,-4.0,0.6899999999999977,-2.0,1.0,-100.0,-28.57,-20.0,4.0,2.0,2.1299999999999955,1.0,9.0,-29.870000000000005,2.0,2.0,-33.33,19.439999999999998,-16.67,-11.0,-3.0,-6.789999999999999,-6.0,-1.0,-7.859999999999999,-1.0,1.0,-100.0,-5.26,-6.670000000000002,0.7799999999999994,-12.5,-0.11699999999999999,-3.0
27,2017020028,2017-10-07,Canucks,3,Oilers,2,H,H_reg,1,"2017-10-07 - Oilers 2, Canucks 3",Vancouver Canucks,60.0,-0.5,8.0,-3.375,-4.5,12.0,-8.260000000000005,-3.0,10.0,-9.46,1.5,2.5,13.189999999999998,-0.5800000000000001,0.5899999999999999,-8.745000000000005,1.5,8.0,-5.32,1.5,1.5,-0.5949999999999989,1.0,5.5,-14.789999999999992,3.5,0.5,41.67,31.814999999999998,8.60499999999999,0.0,6.5,-7.549999999999997,2.5,-1.0,8.14,-1.0,2.5,-58.335,-11.11,-25.0,-2.5,0.5,-4.415000000000006,-7.0,4.5,-28.739999999999995,-0.5,-0.5,0.0,-5.0,2.3799999999999955,5.265000000000001,-4.210000000000008,0.010000000000000009,-4.0
28,2017020029,2017-10-07,Ducks,2,Flyers,3,H,A_OT,0,"2017-10-07 - Flyers 3, Ducks 2",Anaheim Ducks,60.73333333333299,-3.0,5.0,-2.8200000000000003,-1.0,6.0,-3.010000000000005,-3.0,-1.0,-1.9699999999999989,-2.0,2.0,-66.67,-1.0900000000000003,1.73,-18.67,-4.0,-3.0,-1.8200000000000003,0.0,2.0,-2.8100000000000023,2.0,1.0,4.130000000000003,0.0,2.0,-50.0,0.0,-14.290000000000006,-4.0,-5.0,0.37999999999999545,-5.0,-3.0,-11.009999999999998,-1.0,0.0,-50.0,-11.11,-4.290000000000006,-2.0,12.0,-10.07,-2.0,7.0,-11.970000000000002,-1.0,0.0,-50.0,-8.33,0.0,-6.67,-4.5,-0.11199999999999999,-1.0
29,2017020030,2017-10-07,Sharks,1,Kings,4,H,A_reg,0,"2017-10-07 - Kings 4, Sharks 1",San Jose Sharks,60.0,12.0,-2.0,5.649999999999999,14.0,-9.0,11.740000000000002,14.0,-5.0,14.200000000000003,3.0,4.0,-44.44,0.43999999999999995,-0.41000000000000014,6.359999999999999,5.0,-1.0,4.359999999999999,-1.0,4.0,-9.020000000000003,4.0,2.0,6.25,0.0,4.0,-66.67,-10.39,-36.36,6.0,-5.0,12.469999999999999,-2.0,2.0,-9.099999999999994,3.0,0.0,50.0,30.0,0.0,8.0,-1.0,9.200000000000003,11.0,-8.0,42.61,0.0,0.0,0.0,0.0,0.0,4.789999999999999,-13.329999999999998,-0.08499999999999996,7.0
30,2017020031,2017-10-08,Rangers,2,Canadiens,0,H,H_reg,1,"2017-10-08 - Canadiens 0, Rangers 2",New York Rangers,60.0,-4.0,6.5,-4.670000000000002,0.0,1.0,-1.3100000000000023,-2.5,0.0,-2.2550000000000026,2.0,2.0,3.75,0.5250000000000004,1.2799999999999994,-6.875,3.0,14.0,-8.975000000000001,1.5,6.5,-11.280000000000001,0.5,4.5,-9.670000000000002,0.5,1.5,0.0,4.09,0.835000000000008,1.5,7.5,-5.960000000000008,3.0,4.5,-2.405000000000001,1.0,1.0,16.665,12.180000000000001,-4.724999999999994,-6.5,-9.0,4.8600000000000065,-5.0,-8.5,9.640000000000008,0.5,-1.0,33.335,3.605,8.284999999999997,5.929999999999999,-1.9500000000000028,0.039000000000000146,5.5
31,2017020032,2017-10-09,Bruins,0,Avalanche,4,H,A_reg,0,"2017-10-09 - Avalanche 4, Bruins 0",Boston Bruins,60.0,1.5,-7.0,3.2350000000000065,9.0,-2.5,5.38000000000001,4.5,-1.5,3.470000000000006,0.0,-2.5,13.89,0.8650000000000002,-0.5449999999999995,11.764999999999993,4.0,-3.5,7.210000000000001,1.5,1.5,0.7299999999999969,-2.0,1.0,-6.074999999999996,-0.5,-1.0,3.335000000000001,-2.1449999999999996,9.794999999999987,2.5,-5.0,13.875,4.5,-4.0,28.185,0.0,-1.0,25.0,0.0,8.334999999999994,0.0,-5.0,1.9250000000000043,3.0,1.0,4.169999999999995,0.5,-1.0,50.0,2.175,11.324999999999989,-0.6699999999999999,6.364999999999995,0.05700000000000005,-4.5
32,2017020033,2017-10-09,Islanders,2,Blues,3,H,A_SO,0,"2017-10-09 - Blues 3, Islanders 2",New York Islanders,65.0,6.5,-12.5,7.299999999999997,10.0,-11.5,10.520000000000003,4.0,-10.0,10.369999999999997,-0.5,-1.5,36.665,0.8150000000000004,-1.0550000000000002,10.844999999999999,9.5,-1.0,8.155000000000001,3.0,0.0,4.6499999999999915,1.5,-1.0,5.239999999999995,0.5,-1.0,42.5,3.999999999999999,11.310000000000002,6.5,-1.0,9.530000000000008,2.5,-2.0,17.315000000000005,0.0,-0.5,50.0,2.379999999999999,7.14500000000001,0.0,-13.5,12.689999999999998,2.0,-8.5,14.585,-1.0,0.0,-25.0,-5.265,0.0,-0.47500000000000053,2.9199999999999875,0.02499999999999991,-1.0
33,2017020034,2017-10-09,Sabres,2,Devils,6,H,A_reg,0,"2017-10-09 - Devils 6, Sabres 2",Buffalo Sabres,60.0,-3.5,-2.5,-0.75,-6.0,-10.0,1.625,-7.0,-7.5,-0.7100000000000009,-0.5,2.5,-32.22,-1.3250000000000002,-1.185,-1.5749999999999957,-6.5,-1.5,-3.200000000000003,-5.5,-1.5,-4.844999999999999,-5.5,-4.5,-1.8500000000000014,-1.5,1.5,-33.335,-4.004999999999999,-18.825000000000003,-1.0,0.0,-1.2449999999999974,-1.0,-0.5,-1.3649999999999949,2.0,1.0,16.664999999999992,21.25,-11.11,3.0,-4.0,7.380000000000003,0.0,-4.0,10.660000000000004,-1.0,0.0,-50.0,-7.14,0.0,0.1899999999999995,-8.280000000000001,-0.08050000000000002,7.5
34,2017020035,2017-10-09,Maple Leafs,4,Blackhawks,3,H,H_reg,1,"2017-10-09 - Blackhawks 3, Maple Leafs 4",Toronto Maple Leafs,63.716666666667,8.0,-3.5,5.739999999999995,7.0,-1.5,5.36999999999999,5.5,-2.5,6.699999999999989,-2.0,1.5,-34.51999999999999,1.085,0.3600000000000003,6.884999999999998,2.5,-0.5,3.010000000000005,6.5,2.0,10.760000000000005,6.0,0.5,15.75,0.0,1.5,-12.5,-10.715,-15.949999999999989,-4.0,-2.5,-2.730000000000004,-0.5,-3.0,4.945,-1.5,0.0,-33.33500000000001,-23.61,-4.164999999999992,5.5,-5.5,11.75,-0.5,-0.5,-2.9649999999999963,-1.0,0.0,-25.0,-11.11,0.7050000000000125,-11.099999999999998,-4.39500000000001,-0.15500000000000003,-2.0
35,2017020036,2017-10-09,Lightning,4,Capitals,3,H,H_reg,1,"2017-10-09 - Capitals 3, Lightning 4",Tampa Bay Lightning,63.133333333333,4.5,11.5,-2.4549999999999983,7.0,8.5,-0.6499999999999986,0.0,5.0,-3.450000000000003,0.0,2.5,-17.460000000000008,1.3050000000000002,0.915,0.8599999999999923,9.5,10.0,-4.159999999999997,4.0,6.0,-6.289999999999999,2.5,5.5,-8.924999999999997,1.5,1.5,-12.5,6.149999999999999,-7.900000000000006,5.5,4.0,-3.049999999999997,4.5,0.5,6.599999999999994,-1.5,0.5,-25.0,-20.235,-8.335000000000008,-7.0,-1.5,-3.5649999999999977,-8.5,-1.5,-15.489999999999995,0.0,0.5,-8.335000000000008,6.790000000000001,-2.3100000000000023,0.8299999999999983,-6.609999999999985,-0.05750000000000011,3.0
36,2017020037,2017-10-09,Oilers,2,Jets,5,H,A_reg,0,"2017-10-09 - Jets 5, Oilers 2",Edmonton Oilers,60.0,7.0,-19.5,12.534999999999997,8.0,-9.5,11.21,4.5,-7.5,9.869999999999997,-0.5,0.0,-3.9750000000000014,0.5750000000000002,-0.7250000000000001,13.449999999999996,-0.5,-9.5,10.614999999999995,-0.5,-2.5,6.25,-2.0,-1.0,-3.8500000000000014,0.0,-1.0,50.0,2.1250000000000018,14.545000000000002,0.0,-7.0,13.240000000000002,0.5,-1.5,8.405000000000001,-2.0,2.0,-66.67,-29.275,-22.22,7.0,-8.0,15.235,4.5,-4.0,15.915000000000006,0.5,-1.0,25.0,2.125,4.609999999999999,-4.380000000000003,-1.7800000000000011,-0.06099999999999994,-10.0
37,2017020038,2017-10-09,Ducks,0,Flames,2,H,A_reg,0,"2017-10-09 - Flames 2, Ducks 0",Anaheim Ducks,60.0,-3.0,4.5,-2.9450000000000003,-6.5,1.5,-4.279999999999994,-6.0,3.0,-5.905000000000001,2.0,1.0,10.134999999999998,-0.8749999999999996,-0.6399999999999997,-2.520000000000003,-10.0,0.5,-9.235000000000007,-6.0,-2.0,-9.045000000000002,-5.5,1.0,-15.620000000000005,1.5,1.0,7.5,27.405,-6.35499999999999,-4.0,2.5,-8.675000000000004,-0.5,3.5,-6.5,1.0,0.5,16.665,11.469999999999999,-0.914999999999992,5.0,4.5,4.284999999999997,-0.5,-2.5,7.644999999999996,0.0,-0.5,25.0,0.0,3.569999999999993,7.754999999999999,-1.6800000000000068,0.0605,3.0
